lat,lng,code,model,captive,nest_id,battery,id,fetched
30.286261,-97.742655,,bd,false,f6ae29f4-e42e-49c2-918c-ebc1be391092,88,b4c7174a-0ac8-4363-a3ab-5b665a7430a1,1562175270
30.287184,-97.741837,,bd,false,undefined,36,ed63cc8d-4894-472d-af26-e380d63e9927,1562175270
30.286127,-97.742654,,bd,false,f6ae29f4-e42e-49c2-918c-ebc1be391092,85,2bc59477-0318-490f-b006-eac7641ea430,1562175270
30.285712,-97.740857,,bd,false,undefined,66,c1ab8ede-8eab-4cba-9bc4-a04e7fac8429,1562175270
30.287033,-97.740979,,bd,false,undefined,81,e7e72d92-7236-4444-97d4-9e39788004bf,1562175270
30.286237,-97.742761,,bd,false,f6ae29f4-e42e-49c2-918c-ebc1be391092,100,68eda97f-1ef7-441d-ab04-075d9f9807f8,1562175270
30.287075,-97.740893,,bd,false,undefined,78,bb6acbb6-28a6-46d5-b15b-1da56ed1c476,1562175270
30.285555,-97.740869,,bd,false,undefined,92,b0e3afb3-3875-4ed3-9be5-7c7ac10f8c3e,1562175270
30.286323,-97.742825,,bd,false,f6ae29f4-e42e-49c2-918c-ebc1be391092,100,2df2bbac-1022-494e-8120-afb4eab5f013,1562175270
30.286923,-97.74069,,bd,false,undefined,80,d52d9da6-fb32-4975-8fd5-87d60999f20b,1562175270
30.28556,-97.740789,,bd,false,undefined,66,a3824df1-340d-4a7c-8ca9-43d5a8f24385,1562175270
30.287452,-97.741511,,bd,false,undefined,97,11e79178-15ff-4fac-9070-653950d48bdc,1562175270
30.287498,-97.741624,,bd,false,undefined,100,ddf370a3-816a-43a9-a35d-70222e882660,1562175270
30.287513,-97.74139,,bd,false,undefined,81,79e34946-f30a-4917-b373-413b4b90b985,1562175270
30.287537,-97.741417,,bd,false,undefined,71,c8fa47b6-dc82-4aa5-924c-866174bec689,1562175270
30.287545,-97.74145500000002,,esx,false,undefined,45,16d8c02b-3e87-4817-9b3c-e717a7cce016,1562175270
30.285133,-97.742093,,bd,false,985921df-97c7-4854-bcff-8108b1c686b0,97,d0341f6f-8b77-41c4-8e43-fdc48c91a225,1562175270
30.287552,-97.74143,,bd,false,undefined,76,c05c7b20-9045-49c0-bad6-f43687e61659,1562175270
30.285119,-97.742102,,bd,false,undefined,51,301444cf-0824-4596-b1f2-4ec5722a86b0,1562175270
30.285074,-97.741309,,bd,false,undefined,96,1076d02a-0db0-40e5-a009-fafcafbc1f83,1562175270
30.287578,-97.741464,,bd,false,undefined,70,41ff0845-d487-4d3b-8749-2294c198661e,1562175270
30.28757,-97.741397,,bd,false,undefined,79,5fa80eb7-6d63-4996-a695-f362b0de202d,1562175270
30.287598,-97.741584,,bd,false,undefined,72,7c7e1c10-ddbd-4c8d-a3d7-a451a8679a16,1562175270
30.285067,-97.742039,,bd,false,985921df-97c7-4854-bcff-8108b1c686b0,96,b5fca5ef-f30b-4b05-ab45-0f738c3bf86d,1562175270
30.287609,-97.74164,,bd,false,undefined,66,e644434e-1fa9-4782-b53c-977402f14de0,1562175270
